ResonceID,wireless.network.dissatisfaction.factor,wireless.network.dissatisfaction.text,wireless.network.feedback,myslice.satisfied,myslice.dissatisfation.factor,myslice.dissatisfation.text,myslice.feedback,video.conferencing.use,zoom.satisfied,zoom.dissatisfaction.factor,zoom.dissatisfaction.text,teams.vid.satisfied,teams.vid.dissatisfaction.factor,teams.vid.dissatisfaction.text,balance.security.usability,security.min.impact.on.work,security.effective.communication,security.know.who.to.talk.to,security.yearly.training,security.feedback,teach.2021-22,teach.platforms,blackboard.satisfied,blackboard.dissatisfation.factor,blackboard.dissatisfation.text,kaltura.satisfied,kaltura.dissatisfation.factor,kaltura.dissatisfation.text,playposit.satisfied,playposit.dissatisfation.factor,playposit.dissatisfation.text,google.suite.satisfied,google.suite.dissatisfation.factor,google.suite.dissatisfation.text,teaching.tools.find.information,teaching.tools.help.support,teaching.tools.communication,teaching.tools.feedback,assistive.tech.use,assistive.tech.use.list,assistive.tech.use.text,syracuse.edu.navigation,syracuse.edu.organization,accessibility.feedback,accessibility.policy.knowlege,accessibility.doc.creation.impact,accessibility.aware.toolkit,accessibility.professional.development,accessibility.feedback,campus.resources.text,it.challenges.text.1,it.challenges.text.2,it.challenges.text.3
1521,,,,Agree,,,,Yes,Agree,,,Disagree,Other,all of the above and more,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Disagree,"moving so much of what was on the web to answers.com seems unnecessary and makes it difficult to find what we need.  Location shouldn't matter, but it does. Answers is not a great tool.",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Outlook since the move to Office 365 is slow. The search function in 365 is terrible. PDFs are not easily opened.,,
1522,,,none,Somewhat disagree,Other,It is not obvious where specific items are located,"I haven't tried to get help.  I sort of like the new layout, but I am unsure where some features are located",Yes,Somewhat agree,,,Somewhat agree,,,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,I don't want any more mandatory trainings!,Yes,Blackboard,Somewhat agree,,,,,,,,,,,,Somewhat agree,Strongly disagree,Strongly disagree,"I've never received any type of support or training for Blackboard.  Trial and error, which is fine, but it seems like there could be some centralized documentation.  Perhaps a ""quick start"" guide, and maybe an advanced guide.",No,,,Agree,Agree,"Our department's website is so slow to open that I oftentimes think my computer crashed, but it simply takes a very long time to load.",Strongly disagree,,,,,,"When I request computing assistance I write consult@cas.syr.edu.  In most cases I receive an email notification that a ""ticket"" was opened through Orange Tracker.  There are some IT folks that *do not*  generate the email notification in Orange Tracker.  This means that I must access Orange Tracker, and then sort through many, many open tickets to locate my issue.  

My opinion is that mandatory protocol should be to make sure that Orange Tracker sends an email to the requester at every step.  I requested support many months ago, and because most IT folks generate an email through Orange Tracker, I had no idea that I needed to locate the ticket to view updates because I never received an email.  I originally thought the IT folks were ignoring me!  Eventually I sorted through Orange Tracker, which is quite an unfamiliar interface, and found my open ticket that sat idle for months.  This is problematic because funds usually have short lifetimes.  A simple solution would be to mandate that IT folks generate an email through Orange Tracker whenever an issue changes. (that's how all my other Orange Tracker interactions work)

","Beyond the complaint above, the IT folks are very helpful!!  I greatly appreciate all their support.",
1523,,,,Agree,,,,Yes,Agree,,,Agree,,,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,,MySlice,,,
1524,,,,Agree,,,,Yes,Agree,,,Agree,,,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat agree,I have asked about a VPN for use on mobile devices away from the campus network and was told there is none? That seems odd to me.,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,,Somewhat agree,Somewhat disagree,Agree,Disagree,,,,,
1525,,,,Somewhat agree,,,,Yes,Strongly disagree,"Ease of use,Other",It's strange that I can't use my SU credentials to sign in to zoom and always have to go to the forgot passoword page to do the SU sign in. ,Somewhat agree,,,Strongly agree,Agree,Agree,Agree,Strongly agree,,Yes,Blackboard,Somewhat agree,,,,,,,,,,,,Agree,Agree,Agree,,No,,,Somewhat agree,Agree,,Somewhat agree,Agree,Somewhat disagree,Strongly agree,,Mostly everything. ,N/A,N/A,N/A
1526,,,,Agree,,,,Yes,Agree,,,Somewhat agree,,,Agree,Agree,Agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,"School, College and Unit pages could be a little better.  In addition, some pages have 502 Bad Gateway errors when they click on links - like certain events.  This happens rather often.",Agree,Agree,Somewhat agree,Somewhat agree,,,,,
1527,,,"It gives out too much. The whole ""tell students not to use a hotspot"" line is garbage. ",Somewhat agree,,,It looks terrible and it always feels like I'm navigating through too many different systems. It also feels like I'm going to a 1997 website.,Yes,Agree,,,,,,Agree,Somewhat disagree,Agree,Somewhat agree,Strongly disagree,"For the love of Otto, no more training seminars/webinars.",Yes,Blackboard,Strongly disagree,"Platform reliability,Information Technology Services support for using/troubleshooting",,,,,,,,,,,Disagree,Agree,Agree,,No,,,Somewhat agree,Somewhat agree,,Somewhat disagree,Agree,Somewhat disagree,Strongly disagree,,,,,
1528,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Agree,Somewhat agree,Somewhat disagree,,,,,
1529,,,,Somewhat agree,,,,Yes,Agree,,,Somewhat disagree,Ease of use,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,"How do people with disabilities navigate the hurdles balancing security concerns and accessibility?  Personally, I find it exhausting.",Yes,Blackboard,Somewhat agree,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,,No,,,Somewhat disagree,Somewhat agree,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,,
1530,"Ease of connection,Stability",,"In 2022, why is it when you google ""hotspot interference on college campus"" the ONLY articles to complain about it are SU/Daily Orange... the crumbling Wi-Fi infrastructure and the lack of understanding of modern Wi-Fi networking is astounding

As a student as well as an employee, I have yet to have a class where there wasn't at least one person with Wi-Fi related issues, either connecting entirely or it is dropping from location to location. 

Then, there are 3 other networks in the residence halls that aren't around main campus? How am I supposed to know what I should be on, how to use it, etc.? 

I always personally get great support when I contact the help desk, but they can only do so much. I can't imagine they have many people to support what, 30-40k people plus all the remote people? It's obvious this university doesn't understand that technology makes this entire campus experience and product possible, maybe it should be as good as other D1 university who clearly do it better.",Disagree,"Ease of use,Platform reliability,Platform features",,"Lipstick on a pig. You can't just make tiles and call that an improvement to a system... 

You've gated a linktree that does nothing but link to outdated platforms that are unsupported by modern technology and browsers. You then force EVERYONE through the MySlice gate just to be frustrated with access to MySlice when really what the user needs is to go directly to Parchment for transcripts or to Answers for information or the parking or housing... those things are not ""in"" MySlice. The links are gatekept there. ""Security"" by locking a door without ACTUAL reformation is kind of sad, no?",Yes,,,,Agree,,,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,"Security theater. Doing security so we do not face a lawsuit is different from doing security because it is protective of our people and resources. SU specifically UNDER funds their departments and expect results that physically cannot come under those circumstances. 

Modern authentication is not a new concept. Randomized MAC addresses are not a new concept. Private relay is not a new concept. And yet, an incoming student has to make their devices LESS SECURE because they will not work on AOX?? Make it make sense. 

Then the exceptions allowed for members of campus because using two-factor is an inconvenience? Why are some people ""above"" protecting the campus just because they get six figures??? 

Look at any security policy on syracuse.edu and find me ANY CURRENT policy...  like, post 2015... go on... 

Either do actionable items to mend and improve, or just say the quiet part out loud that funding things the correct way cuts into the bottom line.",No,,,,,,,,,,,,,,,,,,Yes,Voiceover for Mac,,Somewhat agree,Somewhat disagree,Hiding articles on the web or in answer.syr.edu to avoid having to make them accessible (because why would we care if staff can use them?) is not making thing accessible,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,"Who would teach about accessibility? SU put together a program, underfunded it, and then lost the people who valued it to other universities where they are actually valued and supported

Accessibility isn't just a pleasant thing to have or an after-thought. It is a basic human right. ",,"Siloing. There is nothing universal about the university when it comes to its support. There is no coherent on-boarding, no continuing education for innovative technology, no governance, and NO ACCOUNTABILITY if something isn't working well. Projects and programs are stood up with no oversight and when something go awry with them six months later it is a groom of grown men saying ""not it"" for fixing/maintain it. 

Why is that? Money? They aren't fiscally supported? Manpower? Not enough people to do the work? This is not for workers to figure out. This is for leadership to GUIDE their teams toward a common goal","Retroactive actions over proactive methods. Unless SU is getting sued, is it important? It shouldn't work like that. We were given a gift with the pandemic. We had time to pause and truly reflect on what was working and what wasn't working in our organization. 

Instead of coming together to say: ""okay, we did what we could with what we had in the past and now going forward we see that we can make improvements in these areas."" SU leadership was content to keep things as close to what wasn't working in the past and continued to jam through old ideas, thoughts, and pathways.

You have an insanely talented collection of people who have worked at SU for DECADES. With this comes a wealth of knowledge. That combined with ""what would it look like if things were working flawlessly"" and you could come together to find proactive solutions. ","Redundancy. Why do we have four platforms that can control video conferencing? How is it a smart idea to support three different data science and reporting platforms? 

Redundancy in the tech world is invaluable in some areas (like data protection/duplication) but by just turning on so many products and letting the community do whatever they want with whatever tools that choose, cripples the ability to support users. 

How do you become an expert in Teams and Zoom and Collaborate and Hangout and Kaltura all at the same time? How does SU have all this funding to pay for FOUR platforms that do the same thing? Why not choose to fully invest into one that will be expertly supported instead of many that are half-assed supported?

Departments are not encouraged to work with each other in a collaborative way with these things. If anything, they are encouraged to just stand up the product quickly so they can reactively fix whatever some higher up thinks is important to change. 

Painting over layers of wallpaper instead of eventually just getting back to drywall and doing it right, will eventually come to bite someone in the butt. Just never the right people. It comes back to bite those on the front lines trying to help.

LISTEN to your front-line people. Stop allowing people in rooms to make decisions if they are not actually interacting with the population. ""Your friend's daughter that goes to Newhouse said maybe they heard we should use Zoom"" is not a reason to just buy it without a review of what we have already paid for.

SU loves to play both cards. We are strong in wealth and drive while simultaneously having no money to do X or Y or Z and needing to do what we can with the resources we have. 

We are bleeding, and just keep guessing where to put the Band-Aids."
1531,,,,Somewhat agree,,,,Yes,Agree,,,,,,Agree,Agree,Agree,Agree,,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Disagree,Disagree,Disagree,Agree,,Zoom,I wish MySlice was better designed. I am a supervisor of numerous research assistants and it takes more time than necessary to approve the hours of each RA over the many projects projects each is working on.,,
1532,,,Very stable and reliable,Strongly agree,,,It provides what I need to be successful,Yes,Strongly agree,,,,,,Agree,Agree,Agree,Agree,Agree,,Yes,"Blackboard,Kaltura",Strongly agree,,,Strongly agree,,,,,,,,,Strongly agree,Strongly agree,Agree,,No,,,Agree,Agree,,Disagree,,,,,Classroom video ,Batteries for microphone. I usually bring my own to make sure I have some,,
1533,,,"Campus wireless network is generally fabulous. I wish a wider, more prominent communication would go about NOT using hotspots and to connect to AOX instead. Especially to the student population.",Agree,,,"I am generally pleased with MySlice. It took some getting used to after the upgrade, but they have made some improvements to make it more user friendly. I do wish our purchasing portal and JPMC portals were upgraded or a new vendor chosen to handle it. It super clunky and hard to navigate sometimes.",Yes,Strongly agree,,,Strongly agree,,,Agree,Agree,Agree,Agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,"There needs to be a standard of Web Development across all units on campus. When you visit each College website, they are all different. It makes it hard to navigate and find information. Especially for new students looking for what program they might be interested in or current students who may attend more than one college due to being non-matriculated or dual-major, etc.",Strongly agree,Agree,Agree,Strongly agree,"There needs to be a change in the Accessibility policy. While I understand the need for it and it is absolutely necessary, there are exceptions to this. Especially when it comes to purchasing an obscure piece of software that some researcher developed and one of our programs is required to use it. The process is long and tedious. Most of those vendors do not know what a WGAC is, let alone create one. Most of the time the faculty member needs it yesterday and we can't purchase it for them because we are waiting for the committee to either grant the exception. I have seen in one case a SU grant be awarded to a faculty member based on a specific software that he was going to use, but the software didn't fully pass accessibility (it couldn't pass because the software was designed to be visual), an exception was NOT granted and the grant that he was awarded could not be used as intended. ",,,,
1534,,,,Agree,,,,Yes,Strongly agree,,,,,,Agree,Somewhat agree,Agree,Agree,Somewhat agree,,Yes,"Blackboard,Kaltura,Google Suite",Agree,,,Somewhat agree,,,,,,Agree,,,Agree,Strongly agree,Strongly agree,"The only time when i have had a complaint is when a software change is rolled out without sufficient warning, which happened in the transition from Ensemble to Kaltura. I am not aware of any colleagues who got notification about that ahead of time.",No,,,Somewhat agree,Somewhat agree,"My Department website doesn't seem as attractive and easy to navigate as others, but we are a massive - the biggest - academic Dept - LLL with 26 different academic programs as well as other non degree programs, so I appreciate the challenge.   ",Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,"The people behind all levels of support - Blackboard, in-class equipment, etc etc. They are always there when i need them, especially in emergencies. Positive, solution oriented and generally a pleasure to deal with. I am a high moderate user or classroom tech and am very satisfied with the tools i have available. ","My biggest challenge is back up solutions for my research data. In 15 years of employment at SU, I have been through about 6 attempts at different back up solutions. Unfortunately, I experienced a computer break during one of the gaps in my back up solution and lost quite a bit of content.  I don't agree that back ups of my classroom, admin, and research work should be covered by external funds. My current back up method is manual upload to google which is time consuming, error prone, and not secure, and thus far from ideal. ","I am currently teaching in a room (Smith 337) which has all the desired tech station, and ample IT help support, but the physical make up of the room - lack of sound absorption it seems - make some of the equipment unusable.  I am teaching a pronunciation class and simply cannot use the audio equipment. ","It seems that the IT support specific to Arts and Sciences are overwhelmed and understaffed such that current hardware requests cannot be filled in a timely manner. I feel badly for them as I know they are working as hard and efficiently as they can - and they are also wonderful IT support folks -  and at the same time, my work is being negatively impacted.    "
1535,"Ease of connection,Speed",,Whenever I'm connected to Orange X it makes my phone move slower. I always disconnect from it with my phones.,Agree,,,,Yes,Agree,,,Somewhat agree,,,Agree,Somewhat disagree,Agree,Agree,,"There have been times I have been blocked from certain websites or services that I need to complete some tasks. WebEx is an example, that is used for ACC meetings and I had no access. Was able to add it quickly through administration but was inconvenienced at the time of my meeting.",No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,,,,,
1536,,,No complaints. Strong signal. ,Strongly agree,,,User friendly. I like the interface. ,Yes,,,,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Agree,,,,,,
1537,,,,Strongly agree,,,,Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Agree,Somewhat agree,Agree,Strongly agree,,,,,
1538,,,,Agree,,,,Yes,Agree,,,Strongly disagree,"Ease of use,Reliability,Picture quality,Sound quality,Information Technology Services support for using/troubleshooting",,Agree,Agree,Somewhat disagree,Disagree,Disagree,,No,,,,,,,,,,,,,,,,,,Yes,"JAWS for Windows,NVDA,Voiceover for Mac,Other",ZoomText and Fusion,Disagree,Disagree,"The website is accessible for screen reader users, however it is not easily navigated.",Strongly agree,Strongly disagree,Strongly agree,Strongly agree,,,,,
1539,,,Effective ,Agree,,,Helpful. Informative,Yes,Somewhat agree,,,Somewhat agree,,,Agree,Agree,Strongly agree,Agree,Agree,,Yes,"Blackboard,Kaltura",Agree,,,Agree,,,,,,,,,Strongly agree,Strongly agree,Agree,Effective ,No,,,Somewhat agree,Somewhat agree,Good,Somewhat agree,Somewhat agree,Somewhat agree,,,The staff who come to the classroom to assist when needed. ,,,
1540,,,,Strongly agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Agree,Agree,Disagree,,,,,
1541,Ease of connection,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Strongly agree,Just to update us on Security issues and policies/proceedures ,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,Some of the Campus Websites for Faculty Offices and Departments can be difficult to find and sometimes difficult to navigate,Agree,Agree,Disagree,Agree,Just to be able to understand the content to be able to use them if needed,Information Technology Services both for the University and the Department where I work,With the new changes in email and websites and the ability and ease to use them,,
1542,,,It seems to go down or very slow at times if it is overloaded or too many are on the network lack of support for such a massive campus,Agree,,,,Yes,Agree,,,Strongly agree,,,Agree,Strongly agree,Somewhat agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Agree,,Agree,Agree,Agree,Agree,,,,,
1543,,,Works well in most areas.,Strongly disagree,"Ease of use,Platform features",,,Yes,Strongly agree,,,Strongly disagree,"Ease of use,Reliability,Picture quality,Sound quality,Other",Difficult tool for teaching.,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,"There are certain IP appliances the INFOSEC quarantines that pose no threat to network security, yet we continually butt heads with these issues.",Yes,Blackboard,Somewhat agree,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,,No,,,Disagree,Disagree,Simple searches prove futile.,Agree,Agree,Agree,Agree,,,Educating Central IT staff on broadcast industry practices.,,
1544,,,,Strongly agree,,,,Yes,Strongly agree,,,Disagree,"Ease of use,Other",I don’t like that outlook defaults to teams when mtg has been scheduled in zoom. It causes confusion. ,Agree,Agree,Agree,Agree,Disagree,,Yes,"Blackboard,PlayPosit",Agree,,,,,,Agree,,,,,,Agree,Disagree,Agree,,No,,,Agree,Agree,,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,,,,,
1545,,,good,Strongly agree,,,,No,,,,,,,Agree,Agree,Agree,Strongly agree,,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Agree,Somewhat agree,,,,,,
1546,Stability,,Availability during times when numerous students are together in a classroom is sporadic or slow to connect.,Somewhat agree,,,,Yes,Agree,,,Agree,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,,,Accessing campus resources remotely without a VPN.  RDS is somewhat unreliable and clunky.,,
1547,,,,Agree,,,,No,,,,,,,Agree,Agree,Agree,Somewhat agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Agree,Agree,Somewhat agree,,,,,
1548,,,,Strongly agree,,,,Yes,Strongly agree,,,,,,Strongly agree,,Strongly agree,Strongly agree,Agree,,Yes,Blackboard,Strongly agree,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,,No,,,Strongly agree,Strongly agree,,Strongly agree,,,,,,,,
1549,,,,Somewhat disagree,"Ease of use,Other",user interface design,,Yes,Strongly agree,,,,,,Agree,Agree,Strongly agree,Agree,Agree,,Yes,Blackboard,Strongly disagree,"Ease of use,Platform reliability,Platform features",,,,,,,,,,,Strongly agree,Agree,Agree,The Canvas platform is more user-friendly and visually pleasing. ,No,,,Strongly agree,Agree,,Somewhat agree,Somewhat agree,Agree,Somewhat agree,,,,,
1550,,,,Somewhat agree,,,,Yes,Agree,,,Disagree,"Picture quality,Sound quality",,Agree,Disagree,Somewhat agree,Disagree,Disagree,,Yes,Blackboard,Agree,,,,,,,,,,,,Disagree,Disagree,Somewhat disagree,,No,,,Somewhat agree,Somewhat agree,,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,,,,,
1551,,,,Agree,,,,Yes,Agree,,,Somewhat disagree,"Ease of use,Reliability,Picture quality,Other",Can't see all meeting participants video feeds simultaneously,Agree,Agree,Somewhat agree,Agree,Disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,,,,,
1552,,,,Strongly agree,,,,Yes,Agree,,,,,,Agree,Agree,Strongly agree,Somewhat agree,Agree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,Agree,,No,,,Agree,Agree,,Somewhat agree,Agree,Agree,Agree,,,,,
1553,,,,Strongly agree,,,,Yes,Agree,,,Strongly agree,,,Agree,Strongly agree,Agree,Agree,,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Somewhat agree,,,,,,,,
1554,,,,Somewhat agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Somewhat agree,Disagree,Agree,,,,,
1555,,,,Somewhat agree,,,I don't not find the organization of the information especially intuitive. It's fine once you know the location something you regularly use but it can be very challenging when looking for something that you've not used before. That's the part that is not intuitive or logical. ,Yes,Agree,,,Somewhat agree,,,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Libraries IT is excellent at communicating changes and updates and providing assistance whenever needed. I can only assume that part of this can be attributed to campus IT successfully communicating downstream.,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,"This isn't about technological accessibility but I'll share it here anyway. I usually search for what I need since I do not need to use the main site on a regular basis. The search results can be hit or miss. As an employee, I find the HR section lacking - e.g., sometimes content no longer exists and a user is redirected to a new page as if one would find the information in the new location. That is not always accurate. I've encountered dead links, which is interesting in this day and age. ",Strongly agree,Somewhat disagree,Agree,Agree,,"Generally speaking, I don't have major complaints about campus computing. The Libraries has one of the best IT departments I've ever encountered. Fantastic staff.

",The functionality of the Microsoft platform (broadly speaking) can be very limiting when tools exist that are purpose-built. I know that's not going to change so I do my best to work within its confines but it can be very frustrating when we are discouraged from requesting a tool or a suite that directly supports our work if Microsoft (or some other SU enterprise tool) provides a watered down version that pales in comparison. I'm not a major fan of the Google suite but parts of it support my work (and/or provide better support) in ways that Teams and One Drive do not - or not as successfully. I do wish we had access to the full Atlassian suite. Collaboration outside of the organization can be more difficult in our Microsoft environment. ,,
1556,,,,Agree,,,,Yes,Somewhat disagree,"Picture quality,Sound quality,Other",Difficult to make annotations.,Somewhat disagree,"Ease of use,Picture quality,Sound quality,Other",System is clunky.,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat disagree,The multi-factor authentication requires users to have a smart phone that is working.  No working cell phone means one can not log onto any of the software!,Yes,"Blackboard,Kaltura",Agree,,,Agree,,,,,,,,,Agree,Agree,Strongly agree,,No,,,Somewhat agree,Somewhat agree,"The search function is not very robust.  It does not always give the right information.  At times, a google search is more effective!",Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,,,Need a working cell phone to log on.  Can this be replaced by security questions?,Creating documents and websites that satisfy accessibility requirements is very tedious and time-consuming.  Are there software that can be purchased or used to convert an existing document/website to satisfy the accessibility requirements.,
1557,,,"It sometimes doesn't auto-connect, but otherwise fine.",Agree,,,hard to log in on a home PC that has another account on it.,Yes,Strongly agree,,,Agree,,,Agree,Strongly agree,Agree,Agree,Agree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,Agree,,No,,,Somewhat agree,Somewhat agree,,Agree,Somewhat agree,,Agree,,Zoom in classroom,I'd love to learn how to use tech in the classroom. half the stuff in there i've never seen before.,,
1558,,,,Agree,,,,Yes,Somewhat agree,,,Somewhat agree,,,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,"Since switching over to the new security ""JAMF"" it's been more difficult to get certain things installed on our computers that we need, specifically for video creation.",No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,For the most part they all work fine for me.,It doesn't seem like our new security took into consideration to be very Mac/Apple-friendly so there's been a lot of issues with that. Some IT help don't have the proper knowledge of Macs and that's another issue.,"I'm a videographer within the Marketing department so I personally don't have a lot of challenges, but our editors and producers run into a fair amount of problems. Specifically when it comes to installing certain software or programs to make our jobs easier and better/more effective and efficient.","JAMF has caused a lot of issues within our team, but that could be an issue with JAMF just not communicating well with Macs, but some members need to restart their computers after it goes to sleep because it won't wake up or just simply can't log back in. Even after just a few minutes. This causes a lot of issues because it's multiple times a day and that's a lot of time lost."
1559,,,NONE,Agree,,,NONE,No,,,,,,,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,None,Yes,Blackboard,Strongly agree,,,,,,,,,,,,Strongly agree,Somewhat agree,Agree,NONE,No,,,Agree,Agree,NONE,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,NONE,"Blackboard; classroom technologies, and research","Frequent freezing of computer screens in the middle of the lectures

No suggestion for solution--could be just a technical issue beyond my knowledge","Office computer regularly blanks itself/switches itself off and have to keep plugging and unplugging

A technical issue that I have no suggested solution for.",N/A
1560,,,,Somewhat agree,,,I find the large-icon navigation visually unappealing and challenging to navigate -- I would prefer having options to set the dashboard with smaller icons or a list so that I could set it to operate in a way that is easier for me to use.,Yes,Agree,,,Agree,,,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,"In the interests of security, it would be helpful to have a secure and reliable VPN installed on faculty/staff laptops to protect users working on non-SU wireless networks.",Yes,"Blackboard,Google Suite",Disagree,"Ease of use,Platform features",,,,,,,,Strongly agree,,,Agree,Agree,Somewhat agree,,No,,,Somewhat disagree,Disagree,,Agree,Agree,Somewhat agree,Disagree,,,"I use and/or create pdf files for my classes, including lecture slides; assignments; copies of articles downloaded from the library's holdings. Making those documents accessible is a very big impact on time. I have learned how to use Adobe Acrobat Pro to make changes to the metadata of an article pdf to correct the reading order, identify headings, identify the language of the article, assign a title, etc. In a given semester, I am likely to assign 50 or more articles for a single class. The work of making those articles accessible can be substantial. Further, in some classes I am creating documents in LaTeX to include mathematical notations -- I have yet to find an easy way to make documents that contain equations into accessible documents. The work is, again, substantial.",,
1561,,,Any device picks it up quickly. It's always fast and reliable.,Agree,,,"I wouldn't recommend making any changes now, but I found some of the icons at the home menu are less intuitive (e.g. HR, benefits and payroll, or that my course schedule could be found under ""Faculty and Advisors""). I find ITS documentation with screenshots and step by step instructions to be the most helpful.",Yes,Strongly agree,,,Agree,,,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,"It is of course a bit more tedious to get ITS approval to download software, but I appreciate their responsiveness and the tradeoff this creates with keeping university systems as secure as possible.",Yes,"Blackboard,Kaltura,Google Suite",Agree,,,Strongly agree,,,,,,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,"Between the software's own pages and ITS, I always find answers to the questions I have regarding how to use the software.",No,,,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Agree,Agree,,,,,
1562,,,,Agree,,,,Yes,Strongly agree,,,Agree,,,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,Strongly agree,,No,,,Agree,Agree,,Agree,Somewhat disagree,Disagree,Agree,,,"I haven't updated my professional web-page for a long time, help to facilitate the same would be appreciated, perhaps a workshop.",,
1563,,,,Disagree,Ease of use,,,Yes,Agree,,,Somewhat disagree,"Reliability,Sound quality",,Disagree,Agree,Agree,Strongly agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,,Strongly agree,Somewhat disagree,Agree,Strongly agree,,,,,
